,City,Cloudiness,Country,Humidity,Temp,Lat,Lng,Wind_Speed
321,traverse city,40,US,68,34.0,44.76,-85.62,19.46
322,goderich,95,CA,65,37.0,43.74,-81.71,4.0
323,mkushi,100,ZM,96,63.63,-13.61,29.4,1.9
324,upernavik,100,GL,72,-14.17,72.79,-56.15,4.5
325,prince rupert,75,CA,74,35.6,54.32,-130.32,10.29
326,aswan,0,EG,54,48.65,24.09,32.9,11.1
327,trn,16,BA,85,23.0,44.85,17.24,3.36
328,mahon,40,IE,87,48.99,51.89,-8.4,9.17
329,taldan,0,RU,90,-9.13,53.69,124.82,3.29
330,zhanaozen,100,KZ,66,28.96,43.35,52.85,20.02
331,soroti,3,UG,62,71.74,1.71,33.61,6.46
332,kelvington,9,CA,95,-22.59,52.16,-103.52,3.36
333,san quintin,32,PH,74,72.73,17.54,120.52,3.76
334,jutai,96,BR,97,74.55,-1.71,-47.89,3.22
335,bitam,52,GA,92,69.53,2.08,11.49,2.55
336,cockburn town,16,TC,80,78.24,21.46,-71.14,14.7
337,erdenet,0,MN,77,-7.4,49.03,104.04,2.37
338,saint george,40,GR,66,37.99,39.45,22.34,6.93
339,xinqing,83,CN,99,-3.26,48.28,129.53,3.78
340,zhigansk,100,RU,97,-4.49,66.77,123.37,7.07
341,khandyga,94,RU,98,-4.5,62.65,135.58,1.79
342,wanning,75,AT,100,36.0,48.64,13.53,2.24
343,severo-kurilsk,59,RU,90,21.56,50.68,156.12,13.15
344,banda aceh,80,ID,88,71.13,5.56,95.32,6.04
345,pangody,31,RU,96,-5.35,65.85,74.49,9.78
346,kitami,75,JP,78,24.8,43.8,143.9,4.7
347,buraydah,0,SA,76,55.4,26.33,43.97,16.11
348,guerrero negro,93,MX,31,69.53,27.97,-114.04,6.69
349,hurricane,1,US,40,52.0,37.18,-113.29,4.34
350,bonavista,90,CA,83,21.99,48.65,-53.11,9.48
351,necochea,0,AR,20,73.0,-38.55,-58.74,1.99
352,kemise,83,ET,87,62.98,10.72,39.87,3.38
353,shahrud,0,IR,70,30.07,36.42,54.97,6.26
354,kiunga,100,PG,99,73.89,-6.12,141.3,2.35
355,tiznit,0,MA,49,49.26,29.7,-9.73,2.53
356,cruzeiro do oeste,100,BR,94,71.38,-23.78,-53.07,3.58
357,namibe,100,AO,80,73.54,-15.19,12.15,2.75
358,ca mau,67,VN,82,76.8,9.18,105.15,6.46
359,naivasha,54,KE,88,57.99,-0.72,36.43,2.1
360,pacific grove,40,US,71,60.01,36.62,-121.92,8.05
361,valdez,75,US,78,14.0,61.13,-146.35,7.18
362,pyu,0,MM,84,60.91,18.48,96.43,6.35
363,bojonegoro,78,ID,86,77.77,-7.15,111.88,3.04
364,sur,0,OM,53,67.55,22.57,59.53,11.86
365,exeter,40,GB,87,55.99,50.73,-3.53,8.05
366,tezu,99,IN,59,54.46,27.93,96.16,2.95
367,bilibino,0,RU,90,-27.85,68.06,166.44,3.0
368,agnibilekrou,1,CI,44,71.78,7.13,-3.2,4.09
369,hay river,90,CA,75,-16.6,60.82,-115.79,2.77
370,drayton valley,100,CA,92,17.17,53.22,-114.98,8.61
371,grand gaube,75,MU,94,77.0,-20.01,57.66,3.22
372,charapan,90,MX,43,69.8,19.65,-102.25,1.01
373,arman,100,RU,82,10.18,59.7,150.17,8.52
374,lamu,95,CN,70,15.51,35.77,102.37,1.79
375,viedma,0,AR,16,80.94,-40.81,-62.99,11.65
376,navirai,100,BR,97,73.54,-23.07,-54.19,1.92
377,barabash,100,RU,72,15.8,43.19,131.5,11.18
378,yelizovo,96,RU,61,15.8,53.19,158.38,6.71
379,kologriv,100,RU,96,18.36,58.83,44.31,7.49
380,waddan,0,LY,73,42.08,29.16,16.14,1.23
381,sobolevo,83,RU,95,29.88,54.43,31.9,8.9
382,hirara,20,JP,94,69.8,24.8,125.28,1.12
383,aguimes,40,ES,68,64.4,27.91,-15.45,17.22
384,kulu,46,CD,46,69.67,3.47,23.69,1.72
385,hambantota,82,LK,79,79.92,6.12,81.12,21.47
386,tefe,20,BR,74,86.0,-3.35,-64.71,2.24
387,acajutla,20,SV,47,80.6,13.59,-89.83,5.82
388,ranong,20,TH,83,77.0,9.96,98.62,1.12
389,dodge city,1,US,34,53.6,37.75,-100.02,5.82
390,pangnirtung,20,CA,43,-31.0,66.15,-65.72,3.36
391,tabou,2,CI,87,74.46,4.42,-7.36,3.53
392,pakxe,100,LA,77,69.98,15.12,105.78,0.87
393,isangel,75,VU,65,82.4,-19.55,169.27,11.41
394,rossano,99,IT,81,37.99,39.57,16.63,2.95
395,golyshmanovo,76,RU,84,1.26,56.4,68.37,3.56
396,geraldton,75,CA,71,5.0,49.72,-86.95,8.05
397,torbay,90,CA,79,24.01,47.66,-52.73,5.82
398,mansa,20,IN,77,59.0,23.43,72.66,3.36
399,plastun,100,RU,53,19.18,44.76,136.29,4.88
400,puerto baquerizo moreno,15,EC,81,77.9,-0.9,-89.6,10.11
401,stephenville,90,CA,85,23.0,48.55,-58.59,4.7
402,accrington,75,GB,87,55.0,53.75,-2.37,11.41
403,scottsbluff,1,US,45,48.2,41.87,-103.67,11.41
404,samarai,100,PG,62,86.16,-10.62,150.67,5.46
405,yulara,100,AU,33,86.0,-25.24,130.99,16.11
406,constantine,40,DZ,93,35.6,36.36,6.61,3.36
407,ayia marina,40,GR,52,44.6,37.75,23.53,6.93
408,plouzane,90,FR,100,53.6,48.38,-4.62,18.34
409,filadelfia,97,PY,63,84.85,-22.35,-60.04,7.67
410,tautira,40,PF,66,87.8,-17.73,-149.15,6.93
411,derzhavinsk,90,KZ,97,3.09,51.1,66.31,5.88
412,qandala,87,SO,71,74.95,11.47,49.87,3.06
413,riverton,1,US,59,37.4,43.02,-108.38,8.05
414,burnie,63,AU,60,71.01,-41.05,145.91,8.01
415,rawson,36,AR,36,72.45,-43.3,-65.11,25.05
416,thinadhoo,65,MV,78,82.83,0.53,72.93,13.67
417,chapais,90,CA,85,12.2,49.78,-74.86,10.29
418,den helder,90,NL,100,50.0,52.96,4.76,29.97
419,pangai,20,TO,70,84.2,-19.8,-174.35,8.05
420,lompoc,75,US,82,66.2,34.64,-120.46,13.87
421,biltine,0,TD,23,68.25,14.53,20.93,10.74
422,tipuani,100,BO,97,70.14,-15.56,-68.02,1.39
423,bischheim,12,FR,100,37.0,48.61,7.75,3.36
424,mount gambier,89,AU,56,71.6,-37.83,140.78,11.41
425,avera,1,US,35,57.2,33.19,-82.53,4.7
426,ratanpur,75,BD,93,57.2,23.79,90.91,3.85
427,bosaso,80,SO,73,78.4,11.28,49.18,14.63
428,iquique,0,CL,53,77.0,-20.22,-70.14,17.22
429,kupang,90,ID,88,78.8,-10.16,123.6,5.82
430,alekseyevsk,100,RU,95,13.24,57.84,108.35,7.54
431,gawler,0,AU,41,87.01,-34.6,138.75,8.05
432,dingle,100,PH,90,76.1,11.0,122.67,9.62
433,labuhan,100,ID,77,77.97,-2.54,115.51,0.22
434,atambua,64,ID,68,82.24,-9.11,124.89,0.89
435,borogontsy,64,RU,100,-16.98,62.67,131.17,1.59
436,lakes entrance,100,AU,86,68.0,-37.88,147.99,9.31
437,maceio,40,BR,83,77.0,-9.67,-35.74,2.24
438,beringovskiy,97,RU,98,-4.86,63.05,179.32,7.09
439,sikeston,1,US,62,46.4,36.88,-89.59,5.82
440,zhangye,99,CN,65,18.21,38.94,100.46,0.25
441,dunda,100,IN,98,39.72,30.62,78.32,2.37
442,biak,98,ID,72,82.76,-0.91,122.88,9.8
